dataset,model,predicted,overlap,precision,recall,score_type,seed,pareto_loss
ISO,MOLM,3,1,0.3333333333333333,0.06666666666666667,logits,42,OFF
ISO,MOLM_probs,3,1,0.3333333333333333,0.06666666666666667,probs,42,OFF
ISO,MOLM_latent_pca,19,4,0.21052631578947367,0.26666666666666666,latent_pca,42,OFF
ISO,MOLM-ST,3,1,0.3333333333333333,0.06666666666666667,logits,42,OFF
ISO,MOLM-ST_probs,3,1,0.3333333333333333,0.06666666666666667,probs,42,OFF
ISO,MOLM-ST_latent_pca,9,0,0.0,0.0,latent_pca,42,OFF
ISO,LDA,2,1,0.5,0.06666666666666667,logits,42,OFF
ISO,NN (OneHot),5,3,0.6,0.2,logits,42,OFF
ISO,NN (Fusion-ESM2),5,3,0.6,0.2,logits,42,OFF
IgG,MOLM,6,0,0.0,0.0,logits,42,OFF
IgG,MOLM_probs,6,0,0.0,0.0,probs,42,OFF
IgG,MOLM_latent_pca,9,0,0.0,0.0,latent_pca,42,OFF
IgG,MOLM-ST,2,0,0.0,0.0,logits,42,OFF
IgG,MOLM-ST_probs,2,0,0.0,0.0,probs,42,OFF
IgG,MOLM-ST_latent_pca,4,1,0.25,0.2,latent_pca,42,OFF
IgG,LDA,3,0,0.0,0.0,logits,42,OFF
IgG,NN (OneHot),5,2,0.4,0.4,logits,42,OFF
IgG,NN (Fusion-ESM2),5,2,0.4,0.4,logits,42,OFF
ISO,MOLM,2,1,0.5,0.06666666666666667,logits,123,OFF
ISO,MOLM_probs,2,1,0.5,0.06666666666666667,probs,123,OFF
ISO,MOLM_latent_pca,16,5,0.3125,0.3333333333333333,latent_pca,123,OFF
ISO,MOLM-ST,5,2,0.4,0.13333333333333333,logits,123,OFF
ISO,MOLM-ST_probs,5,2,0.4,0.13333333333333333,probs,123,OFF
ISO,MOLM-ST_latent_pca,16,1,0.0625,0.06666666666666667,latent_pca,123,OFF
ISO,LDA,2,1,0.5,0.06666666666666667,logits,123,OFF
ISO,NN (OneHot),5,3,0.6,0.2,logits,123,OFF
ISO,NN (Fusion-ESM2),8,2,0.25,0.13333333333333333,logits,123,OFF
IgG,MOLM,3,1,0.3333333333333333,0.2,logits,123,OFF
IgG,MOLM_probs,3,1,0.3333333333333333,0.2,probs,123,OFF
